season,date,home_team,away_team,home_score,away_score,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards
2425,2025-02-22,Venezia,Lazio,0,0,4,2,0,0
2425,2025-02-23,Cagliari,Juventus,0,1,0,1,0,0
2425,2025-02-23,Como,Napoli,2,1,1,3,0,0
2425,2025-02-23,Empoli,Atalanta,0,5,0,1,0,0
2425,2025-02-23,Verona,Fiorentina,1,0,2,3,0,0
2425,2025-02-24,Roma,Monza,4,0,0,1,0,0
2425,2025-02-27,Bologna,AC Milan,2,1,1,2,0,0
2425,2025-02-28,Fiorentina,Lecce,1,0,3,2,0,0
2425,2025-03-01,Atalanta,Venezia,0,0,1,2,0,0
2425,2025-03-01,Napoli,Inter,1,1,1,0,0,0
2425,2025-03-01,Udinese,Parma Calcio 1913,1,0,1,1,0,0
2425,2025-03-02,AC Milan,Lazio,1,2,3,1,1,0
2425,2025-03-02,Bologna,Cagliari,2,1,1,2,0,0
2425,2025-03-02,Genoa,Empoli,1,1,1,3,0,0
2425,2025-03-02,Monza,Torino,0,2,2,2,0,0
2425,2025-03-02,Roma,Como,2,1,2,6,0,1
2425,2025-03-03,Juventus,Verona,2,0,1,0,0,0
2425,2025-03-07,Cagliari,Genoa,1,1,2,2,0,0
2425,2025-03-08,Como,Venezia,1,1,2,3,0,0
2425,2025-03-08,Inter,Monza,3,2,0,1,0,0
2425,2025-03-08,Lecce,AC Milan,2,3,2,1,0,0
2425,2025-03-08,Parma Calcio 1913,Torino,2,2,4,2,0,0
2425,2025-03-09,Empoli,Roma,0,1,0,0,0,0
2425,2025-03-09,Juventus,Atalanta,0,4,1,1,0,0
2425,2025-03-09,Napoli,Fiorentina,2,1,1,2,0,0
2425,2025-03-09,Verona,Bologna,1,2,2,1,1,0
2425,2025-03-10,Lazio,Udinese,1,1,2,4,0,0
2425,2025-03-14,Genoa,Lecce,2,1,3,2,0,0
2425,2025-03-15,AC Milan,Como,2,1,3,3,0,1
2425,2025-03-15,Monza,Parma Calcio 1913,1,1,0,3,0,0
2425,2025-03-15,Torino,Empoli,1,0,1,0,0,0
2425,2025-03-15,Udinese,Verona,0,1,5,2,0,0
2425,2025-03-16,Atalanta,Inter,0,2,2,2,1,1
2425,2025-03-16,Bologna,Lazio,5,0,2,3,0,0
2425,2025-03-16,Fiorentina,Juventus,3,0,2,3,0,0
2425,2025-03-16,Roma,Cagliari,1,0,0,2,0,0
2425,2025-03-16,Venezia,Napoli,0,0,2,1,0,0
2425,2025-03-29,Como,Empoli,1,1,2,5,0,1
2425,2025-03-29,Juventus,Genoa,1,0,2,2,0,0
2425,2025-03-29,Lecce,Roma,0,1,1,2,0,0
2425,2025-03-29,Venezia,Bologna,0,1,4,1,0,0
2425,2025-03-30,Cagliari,Monza,3,0,2,2,0,0
2425,2025-03-30,Fiorentina,Atalanta,1,0,0,3,0,0
2425,2025-03-30,Inter,Udinese,2,1,2,0,0,0
2425,2025-03-30,Napoli,AC Milan,2,1,1,1,0,0
2425,2025-03-31,Lazio,Torino,1,1,3,4,0,0
2425,2025-03-31,Verona,Parma Calcio 1913,0,0,2,1,0,0
2425,2025-04-04,Genoa,Udinese,1,0,2,2,0,0
2425,2025-04-05,AC Milan,Fiorentina,2,2,4,3,0,0
2425,2025-04-05,Monza,Como,1,3,2,1,0,0
2425,2025-04-05,Parma Calcio 1913,Inter,2,2,2,3,0,0
2425,2025-04-06,Atalanta,Lazio,0,1,1,2,0,0
2425,2025-04-06,Empoli,Cagliari,0,0,0,4,0,0
2425,2025-04-06,Lecce,Venezia,1,1,2,4,0,0
2425,2025-04-06,Roma,Juventus,1,1,1,1,0,0
2425,2025-04-06,Torino,Verona,1,1,1,1,1,0
2425,2025-04-07,Bologna,Napoli,1,1,1,3,0,0
2425,2025-04-11,Udinese,AC Milan,0,4,1,1,0,0
2425,2025-04-12,Inter,Cagliari,3,1,0,1,0,0
2425,2025-04-12,Juventus,Lecce,2,1,0,1,0,0
2425,2025-04-12,Venezia,Monza,1,0,4,3,1,0
2425,2025-04-13,Atalanta,Bologna,2,0,4,1,0,0
2425,2025-04-13,Como,Torino,1,0,1,3,0,0
2425,2025-04-13,Fiorentina,Parma Calcio 1913,0,0,0,5,0,0
2425,2025-04-13,Lazio,Roma,1,1,4,2,0,0
2425,2025-04-13,Verona,Genoa,0,0,3,1,0,0
2425,2025-04-14,Napoli,Empoli,3,0,1,1,0,0
2425,2025-04-19,Lecce,Como,0,3,3,5,0,0
2425,2025-04-19,Monza,Napoli,0,1,4,2,0,0
2425,2025-04-19,Roma,Verona,1,0,0,2,0,0
2425,2025-04-20,AC Milan,Atalanta,0,1,0,1,0,0
2425,2025-04-20,Bologna,Inter,1,0,3,4,0,0
2425,2025-04-20,Empoli,Venezia,2,2,2,1,0,0
2425,2025-04-23,Cagliari,Fiorentina,1,2,2,2,0,0
2425,2025-04-23,Genoa,Lazio,0,2,3,1,1,1
2425,2025-04-23,Parma Calcio 1913,Juventus,1,0,2,3,0,0
2425,2025-04-23,Torino,Udinese,2,0,2,2,0,0
2425,2025-04-27,Atalanta,Lecce,1,1,1,1,0,0
2425,2025-04-27,Como,Genoa,1,0,2,1,0,0
2425,2025-04-27,Fiorentina,Empoli,2,1,3,2,0,1
2425,2025-04-27,Inter,Roma,0,1,1,2,0,0
2425,2025-04-27,Juventus,Monza,2,0,3,3,1,0
2425,2025-04-27,Napoli,Torino,2,0,0,3,0,0
2425,2025-04-27,Venezia,AC Milan,0,2,1,0,0,0
2425,2025-04-28,Lazio,Parma Calcio 1913,2,2,1,3,0,0
2425,2025-04-28,Udinese,Bologna,0,0,3,2,0,0
2425,2025-04-28,Verona,Cagliari,0,2,2,2,1,0
2425,2025-05-02,Torino,Venezia,1,1,1,0,0,0
2425,2025-05-03,Cagliari,Udinese,1,2,1,2,0,0
2425,2025-05-03,Inter,Verona,1,0,1,3,0,0
2425,2025-05-03,Lecce,Napoli,0,1,2,0,0,0
2425,2025-05-03,Parma Calcio 1913,Como,0,1,1,1,0,0
2425,2025-05-04,Bologna,Juventus,1,1,1,3,0,0
2425,2025-05-04,Empoli,Lazio,0,1,4,4,1,1
2425,2025-05-04,Monza,Atalanta,0,4,1,2,0,0
2425,2025-05-04,Roma,Fiorentina,1,0,2,2,0,1
2425,2025-05-05,Genoa,AC Milan,1,2,1,5,0,0
2425,2025-05-09,AC Milan,Bologna,3,1,2,2,0,0
2425,2025-05-10,Como,Cagliari,3,1,1,3,0,0
2425,2025-05-10,Empoli,Parma Calcio 1913,2,1,2,1,0,1
2425,2025-05-10,Lazio,Juventus,1,1,5,4,0,1
2425,2025-05-11,Napoli,Genoa,2,2,1,2,0,0
2425,2025-05-11,Torino,Inter,0,2,1,3,0,0
2425,2025-05-11,Udinese,Monza,1,2,2,3,0,0
2425,2025-05-11,Verona,Lecce,1,1,4,0,0,0
2425,2025-05-12,Atalanta,Roma,2,1,1,0,0,0
2425,2025-05-12,Venezia,Fiorentina,2,1,1,4,0,0
2425,2025-05-17,Genoa,Atalanta,2,3,0,0,0,0
2425,2025-05-18,Cagliari,Venezia,3,0,1,1,0,0
2425,2025-05-18,Fiorentina,Bologna,3,2,4,1,0,1
2425,2025-05-18,Inter,Lazio,2,2,1,3,0,0
2425,2025-05-18,Juventus,Udinese,2,0,0,3,0,0
2425,2025-05-18,Lecce,Torino,1,0,1,1,0,0
2425,2025-05-18,Monza,Empoli,1,3,0,1,0,0
2425,2025-05-18,Parma Calcio 1913,Napoli,0,0,2,2,0,0
2425,2025-05-18,Roma,AC Milan,3,1,3,2,0,1
2425,2025-05-18,Verona,Como,1,1,1,3,0,0
2425,2025-05-23,Como,Inter,0,2,1,2,1,0
2425,2025-05-23,Napoli,Cagliari,2,0,2,1,0,0
2425,2025-05-24,AC Milan,Monza,2,0,0,1,0,0
2425,2025-05-24,Bologna,Genoa,1,3,5,2,0,0
2425,2025-05-25,Atalanta,Parma Calcio 1913,2,3,1,1,0,0
2425,2025-05-25,Empoli,Verona,1,2,2,3,0,1
2425,2025-05-25,Lazio,Lecce,0,1,3,2,1,2
2425,2025-05-25,Torino,Roma,0,2,1,1,0,0
2425,2025-05-25,Udinese,Fiorentina,2,3,2,2,1,0
2425,2025-05-25,Venezia,Juventus,2,3,1,2,0,0
