season,date,home_team,away_team,home_score,away_score,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,result,home_elo,away_elo,elo_diff,hpg,apg,hpl5,apl5,hpl5_home,apl5_away,home_wins_last_5,home_draws_last_5,home_losses_last_5,away_wins_last_5,away_draws_last_5,away_losses_last_5,home_goals_scored_last_5,home_goals_conceded_last_5,away_goals_scored_last_5,away_goals_conceded_last_5,home_yellows_last_5,away_yellows_last_5,home_reds_last_5,away_reds_last_5,home_xg,away_xg,home_ppda,away_ppda,home_deep_completions,away_deep_completions
1415,2014-09-24,Napoli,Palermo,3.0,3.0,1,4,0,0,D,1769.07,1578.05,191.02,1,1,3,6,0,0,1,0,2,0,2,1,2.0,3.0,3.0,4.0,6,6,0,0,1.53135,1.11014,13.0,27.692307692307693,10.0,2.0
1415,2014-09-25,Lazio,Udinese,0.0,1.0,3,1,0,0,A,1643.45,1630.8,12.65,0,3,3,0,3,0,1,0,2,2,0,1,4.0,4.0,3.0,2.0,8,4,1,0,0.940274,1.062,2.806451612903226,34.375,3.0,1.0
1415,2014-09-27,Atalanta,Juventus,0.0,3.0,2,3,0,0,A,1587.71,1917.48,-329.77,0,3,4,7,1,6,1,1,2,4,0,0,2.0,4.0,7.0,0.0,10,4,0,0,1.01149,2.69489,6.71875,7.433333333333334,7.0,13.0
1415,2014-09-27,Roma,Verona,2.0,0.0,1,1,0,0,H,1799.06,1609.07,189.99,3,0,12,6,6,4,4,0,0,2,2,0,7.0,1.0,5.0,3.0,9,11,0,0,2.69285,0.353371,4.620689655172414,24.642857142857142,11.0,2.0
1415,2014-09-28,Torino,Fiorentina,1.0,1.0,3,2,0,0,D,1635.02,1714.15,-79.13,1,1,4,7,1,3,1,1,2,1,2,1,2.0,4.0,1.0,2.0,10,11,0,0,1.04433,1.37293,21.727272727272727,6.307692307692308,5.0,10.0
1415,2014-09-28,Sassuolo,Napoli,0.0,1.0,4,2,0,0,A,1533.57,1763.03,-229.46,0,3,3,3,2,3,0,3,1,1,1,2,1.0,8.0,5.0,6.0,9,7,1,0,0.759409,1.39971,6.457142857142857,12.952380952380953,9.0,7.0
1415,2014-09-28,Inter,Cagliari,1.0,4.0,2,3,1,0,A,1708.59,1549.65,158.94,0,3,8,2,6,1,2,2,0,0,1,3,10.0,1.0,3.0,7.0,6,9,1,0,1.30307,3.32315,9.928571428571429,10.590909090909092,9.0,11.0
1415,2014-09-28,Chievo,Empoli,1.0,1.0,3,1,0,0,D,1553.54,1509.37,44.17,1,1,3,9,0,1,1,0,3,0,2,2,4.0,6.0,4.0,7.0,8,5,0,1,0.837322,1.67402,5.42,6.307692307692308,5.0,3.0
1415,2014-09-28,Cesena,Milan,1.0,1.0,4,2,0,1,D,1470.96,1732.19,-261.23,1,1,4,1,4,4,1,1,2,2,1,1,3.0,8.0,10.0,8.0,10,9,0,1,1.13049,0.876708,11.454545454545457,7.695652173913044,1.0,5.0
1415,2014-09-28,Genoa,Sampdoria,0.0,1.0,3,4,0,0,A,1586.55,1590.08,-3.53,0,3,5,5,3,2,1,2,1,2,2,0,4.0,4.0,5.0,2.0,11,9,1,1,0.203654,0.252545,6.961538461538462,3.3846153846153846,4.0,1.0
