season,date,home_team,away_team,home_score,away_score,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,result,home_elo,away_elo,elo_diff,hpg,apg,hpl5,apl5,hpl5_home,apl5_away,home_wins_last_5,home_draws_last_5,home_losses_last_5,away_wins_last_5,away_draws_last_5,away_losses_last_5,home_goals_scored_last_5,home_goals_conceded_last_5,away_goals_scored_last_5,away_goals_conceded_last_5,home_yellows_last_5,away_yellows_last_5,home_reds_last_5,away_reds_last_5,home_xg,away_xg,home_ppda,away_ppda,home_deep_completions,away_deep_completions,home_xg_last_5,home_xga_last_5,home_ppda_last_5,home_ppda_faced_last_5,home_deep_completions_last_5,home_deep_completions_allowed_last_5,away_xg_last_5,away_xga_last_5,away_ppda_last_5,away_ppda_faced_last_5,away_deep_completions_last_5,away_deep_completions_allowed_last_5,xg_form_diff_last_5,xga_form_diff_last_5,ppda_diff_last_5,deep_completions_diff_last_5
1415,2014-09-23,Empoli,Milan,2.0,2.0,2,3,1,0,D,1504.6,1736.95,-232.35,1,1,1,4,0,3,0,1,2,2,0,1,2.0,5.0,8.0,6.0,3,6,0,1,2.03406,0.58264,9.678571428571429,4.951219512195122,8.0,4.0,1.2864553333333333,1.6991366666666667,12.606617647058824,11.698525737131433,6.333333333333333,4.666666666666667,2.0235523333333334,1.6364766666666668,12.36799247435106,8.50964590964591,3.6666666666666665,11.333333333333334,-0.7370970000000001,0.06265999999999994,0.2386251727077635,2.6666666666666665
1415,2014-09-24,Cagliari,Torino,1.0,2.0,2,2,0,0,A,1557.23,1627.44,-70.21,0,3,1,4,0,0,0,1,2,0,1,2,2.0,5.0,0.0,3.0,7,8,0,0,0.775745,1.296,7.6571428571428575,16.533333333333335,8.0,5.0,1.4513930000000002,1.0731846666666665,10.746117546117546,12.259661835748792,9.333333333333334,5.0,1.3708943333333334,0.9851216666666666,12.950000000000001,10.898320680929375,6.333333333333333,3.3333333333333335,0.08049866666666672,0.08806299999999989,-2.2038824538824553,3.000000000000001
1415,2014-09-24,Fiorentina,Sassuolo,0.0,0.0,2,2,0,0,D,1720.21,1527.5,192.71,1,1,4,4,1,0,1,1,1,0,2,1,1.0,2.0,1.0,8.0,9,7,0,1,1.0464,0.159402,4.8,20.125,11.0,1.0,1.1688020000000001,1.2057083333333332,9.287317620650954,13.928571428571429,5.666666666666667,4.333333333333333,0.7401013333333334,1.824325,10.767973856209151,5.652995852995853,4.0,6.0,0.42870066666666673,-0.6186166666666668,-1.4806562355581967,1.666666666666667
1415,2014-09-24,Inter,Atalanta,2.0,0.0,1,3,0,0,H,1702.5,1593.8,108.7,3,0,5,2,3,3,1,2,0,1,1,1,8.0,1.0,2.0,2.0,5,7,1,0,1.81087,0.421513,12.136363636363637,9.434782608695652,4.0,4.0,1.9188613333333333,0.7226383333333333,8.159452142060838,14.082788671023964,4.333333333333333,3.6666666666666665,0.8816256666666668,1.5881490000000003,13.178095238095239,7.788023088023088,5.666666666666667,10.0,1.0372356666666667,-0.865510666666667,-5.018643096034401,-1.333333333333334
1415,2014-09-24,Juventus,Cesena,3.0,0.0,0,3,0,0,H,1916.23,1472.21,444.02,3,0,9,6,3,0,3,0,0,1,1,1,4.0,0.0,3.0,5.0,4,7,0,0,2.23177,0.0127481,4.275862068965517,25.928571428571427,18.0,1.0,1.6411033333333334,0.328393,8.301787994891443,11.350863178449385,13.666666666666666,2.0,1.0954936666666668,1.5227770000000003,20.916666666666668,8.11082693947144,1.6666666666666667,7.333333333333333,0.5456096666666665,-1.1943840000000003,-12.614878671775225,12.0
1415,2014-09-24,Napoli,Palermo,3.0,3.0,1,4,0,0,D,1769.07,1578.05,191.02,1,1,3,6,0,0,1,0,2,0,2,1,2.0,3.0,3.0,4.0,6,6,0,0,1.53135,1.11014,13.0,27.692307692307693,10.0,2.0,1.4772453333333333,0.627082,7.2379599567099575,13.530526315789473,8.333333333333334,3.0,0.964839,1.1283793333333334,13.49993038150933,9.252136752136751,4.0,2.3333333333333335,0.5124063333333333,-0.5012973333333334,-6.261970424799372,4.333333333333334
1415,2014-09-24,Parma,Roma,1.0,2.0,3,3,0,0,A,1659.19,1793.28,-134.09,0,3,3,6,0,3,1,0,2,3,0,0,7.0,8.0,5.0,0.0,10,6,1,0,0.334683,0.82541,14.851851851851851,5.8,4.0,13.0,0.9343233333333334,2.0737733333333335,8.60909380474598,17.430205415499533,7.333333333333333,2.6666666666666665,1.7118799999999998,0.48821,9.675233811665597,16.637896825396826,6.0,4.666666666666667,-0.7775566666666665,1.5855633333333334,-1.0661400069196176,1.333333333333333
1415,2014-09-24,Sampdoria,Chievo,2.0,1.0,1,3,0,0,H,1583.84,1559.77,24.07,3,0,5,2,3,3,1,2,0,1,0,2,3.0,1.0,3.0,4.0,8,5,1,0,1.78275,0.270687,2.8297872340425534,5.972222222222222,5.0,2.0,0.6264876666666667,0.6563530000000001,8.164021164021165,10.796491228070176,4.333333333333333,3.3333333333333335,0.8396566666666666,1.8378896666666666,11.871454311454313,4.263957307060756,3.3333333333333335,10.0,-0.21316899999999994,-1.1815366666666667,-3.7074331474331483,0.9999999999999996
1415,2014-09-24,Verona,Genoa,2.0,2.0,2,2,0,0,D,1611.29,1584.32,26.97,1,1,7,4,3,1,2,1,0,1,1,1,3.0,1.0,2.0,2.0,9,9,0,1,1.82598,1.6167,8.272727272727273,9.125,8.0,5.0,1.3507023333333332,1.6304143333333334,11.695767195767196,10.750846560846561,3.0,8.0,0.6455500000000001,1.9535799999999999,12.970526315789472,6.436560044893379,2.3333333333333335,7.333333333333333,0.7051523333333332,-0.32316566666666646,-1.274759120022276,0.6666666666666665
1415,2014-09-25,Lazio,Udinese,0.0,1.0,3,1,0,0,A,1643.45,1630.8,12.65,0,3,3,0,3,0,1,0,2,2,0,1,4.0,4.0,3.0,2.0,8,4,1,0,0.940274,1.062,2.806451612903226,34.375,3.0,1.0,1.85405,1.1173203333333335,5.402018633540372,15.846999745741163,10.0,2.3333333333333335,0.860411,0.7445153333333333,13.477607061131089,12.659790305010894,2.0,10.0,0.9936389999999999,0.37280500000000016,-8.075588427590716,8.0
1415,2014-09-27,Atalanta,Juventus,0.0,3.0,2,3,0,0,A,1587.71,1917.48,-329.77,0,3,4,7,1,6,1,1,2,4,0,0,2.0,4.0,7.0,0.0,10,4,0,0,1.01149,2.69489,6.71875,7.433333333333334,7.0,13.0,0.7665975,1.64382925,12.242267080745343,8.875108225108225,5.25,8.5,1.78877,0.249481775,7.295306513409962,14.995290240979896,14.75,1.75,-1.0221725,1.394347475,4.946960567335381,-9.5
1415,2014-09-27,Roma,Verona,2.0,0.0,1,1,0,0,H,1799.06,1609.07,189.99,3,0,12,6,6,4,4,0,0,2,2,0,7.0,1.0,5.0,3.0,9,11,0,0,2.69285,0.353371,4.620689655172414,24.642857142857142,11.0,2.0,1.4902625,0.44982825,8.706425358749197,16.191385582010582,7.75,4.5,1.46952175,1.62698575,10.840007215007216,10.344384920634921,4.25,7.25,0.020740750000000086,-1.1771575,-2.1335818562580187,3.5
1415,2014-09-28,Cesena,Milan,1.0,1.0,4,2,0,1,D,1470.96,1732.19,-261.23,1,1,4,1,4,4,1,1,2,2,1,1,3.0,8.0,10.0,8.0,10,9,0,1,1.13049,0.876708,11.454545454545457,7.695652173913044,1.0,5.0,0.8248072750000001,1.70002525,22.169642857142854,7.152085721844959,1.5,10.0,1.66332425,1.7358725000000002,10.513799233812076,8.80187728937729,3.75,10.5,-0.838516975,-0.03584725000000022,11.655843623330778,-2.25
