league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,away_points,away_expected_points,away_goals,away_xg,away_np_xg,away_np_xg_difference,away_ppda,away_deep_completions,home_points,home_expected_points,home_goals,home_xg,home_np_xg,home_np_xg_difference,home_ppda,home_deep_completions
ITA-Serie A,1415,2014-09-24 Cagliari-Torino,2,2014,5134,2014-09-24 19:45:00,116,113,Cagliari,Torino,TOR,CAG,3,1.8097,2,1.296,1.296,0.520255,16.533333333333335,5,0,0.8976999999999999,1,0.775745,0.775745,-0.520255,7.6571428571428575,8
ITA-Serie A,1415,2014-09-24 Fiorentina-Sassuolo,2,2014,5130,2014-09-24 19:45:00,110,104,Fiorentina,Sassuolo,SAS,FIO,1,0.4544,0,0.159402,0.159402,-0.886998,20.125,1,1,2.228,0,1.0464,1.0464,0.886998,4.8,11
ITA-Serie A,1415,2014-09-24 Inter-Atalanta,2,2014,5132,2014-09-24 19:45:00,106,107,Inter,Atalanta,ATA,INT,0,0.32030000000000003,0,0.421513,0.421513,-0.6280569999999999,9.434782608695652,4,3,2.5046,2,1.81087,1.04957,0.6280569999999999,12.136363636363637,4
ITA-Serie A,1415,2014-09-24 Juventus-Cesena,2,2014,5133,2014-09-24 19:45:00,98,203,Juventus,Cesena,CES,JUV,0,0.0552,0,0.0127481,0.0127481,-1.4577219,25.928571428571427,1,3,2.8905,3,2.23177,1.47047,1.4577219,4.275862068965517,18
ITA-Serie A,1415,2014-09-24 Napoli-Palermo,2,2014,5135,2014-09-24 19:45:00,105,100,Napoli,Palermo,PAL,NAP,1,1.0270000000000001,3,1.11014,1.11014,-0.4212100000000001,27.692307692307693,2,1,1.6905999999999999,3,1.53135,1.53135,0.4212100000000001,13.0,10
ITA-Serie A,1415,2014-09-24 Parma-Roma,2,2014,5136,2014-09-24 19:45:00,204,95,Parma,Roma,ROM,PAR,3,1.7921,2,0.82541,0.82541,0.49072699999999997,5.8,13,0,0.8099000000000001,1,0.334683,0.334683,-0.49072699999999997,14.851851851851851,4
ITA-Serie A,1415,2014-09-24 Sampdoria-Chievo,2,2014,5137,2014-09-24 19:45:00,102,109,Sampdoria,Chievo,CHI,SAM,0,0.2449,1,0.270687,0.270687,-1.512063,5.972222222222222,2,3,2.5968999999999998,2,1.78275,1.78275,1.512063,2.8297872340425534,5
ITA-Serie A,1415,2014-09-24 Verona-Genoa,2,2014,5131,2014-09-24 19:45:00,94,101,Verona,Genoa,GEN,VER,1,1.1985999999999999,2,1.6167,1.6167,-0.2092799999999999,9.125,5,1,1.5381999999999998,2,1.82598,1.82598,0.2092799999999999,8.272727272727273,8
ITA-Serie A,1415,2014-09-25 Lazio-Udinese,2,2014,5138,2014-09-25 19:45:00,96,99,Lazio,Udinese,UDI,LAZ,3,1.488,1,1.062,1.062,0.121726,34.375,1,0,1.1964000000000001,0,0.940274,0.940274,-0.121726,2.806451612903226,3
ITA-Serie A,1415,2014-09-27 Atalanta-Juventus,2,2014,5140,2014-09-27 19:45:00,107,98,Atalanta,Juventus,JUV,ATA,3,2.6264,3,2.69489,2.69489,2.444699,7.433333333333334,13,0,0.2381,0,1.01149,0.250191,-2.444699,6.71875,7
ITA-Serie A,1415,2014-09-27 Roma-Verona,2,2014,5139,2014-09-27 17:00:00,95,94,Roma,Verona,VER,ROM,0,0.13390000000000002,0,0.353371,0.353371,-2.339479,24.642857142857142,2,3,2.7913,2,2.69285,2.69285,2.339479,4.620689655172414,11
ITA-Serie A,1415,2014-09-28 Cesena-AC Milan,2,2014,5143,2014-09-28 14:00:00,203,111,Cesena,AC Milan,MIL,CES,1,1.0364,1,0.876708,0.876708,-0.25378199999999995,7.695652173913044,5,1,1.6178,1,1.13049,1.13049,0.25378199999999995,11.454545454545455,1
ITA-Serie A,1415,2014-09-28 Chievo-Empoli,2,2014,5144,2014-09-28 14:00:00,109,108,Chievo,Empoli,EMP,CHI,1,2.1254,1,1.67402,1.67402,0.836698,6.3076923076923075,3,1,0.6407,1,0.837322,0.837322,-0.836698,5.42,5
ITA-Serie A,1415,2014-09-28 Genoa-Sampdoria,2,2014,5146,2014-09-28 19:45:00,101,102,Genoa,Sampdoria,SAM,GEN,3,1.2334,1,0.252545,0.252545,0.04889100000000002,3.3846153846153846,1,0,1.0984,0,0.203654,0.203654,-0.04889100000000002,6.961538461538462,4
ITA-Serie A,1415,2014-09-28 Inter-Cagliari,2,2014,5145,2014-09-28 14:00:00,106,116,Inter,Cagliari,CAG,INT,3,2.575,4,3.32315,2.56185,1.2587800000000002,10.590909090909092,11,0,0.313,1,1.30307,1.30307,-1.2587800000000002,9.928571428571429,9
ITA-Serie A,1415,2014-09-28 Sassuolo-Napoli,2,2014,5141,2014-09-28 11:30:00,104,105,Sassuolo,Napoli,NAP,SAS,3,1.9636,1,1.39971,1.39971,0.640301,12.952380952380953,7,0,0.757,0,0.759409,0.759409,-0.640301,6.457142857142857,9
ITA-Serie A,1415,2014-09-28 Torino-Fiorentina,2,2014,5142,2014-09-28 14:00:00,113,110,Torino,Fiorentina,FIO,TOR,1,1.6250999999999998,1,1.37293,1.37293,0.3286,6.3076923076923075,10,1,1.0896,1,1.04433,1.04433,-0.3286,21.727272727272727,5
ITA-Serie A,1415,2014-09-29 Palermo-Lazio,2,2014,5148,2014-09-29 20:00:00,100,96,Palermo,Lazio,LAZ,PAL,3,2.0199,4,2.43959,2.43959,0.86449,7.137931034482759,2,0,0.7526999999999999,0,1.5751,1.5751,-0.86449,8.448275862068966,4
ITA-Serie A,1415,2014-09-29 Udinese-Parma,2,2014,5147,2014-09-29 18:00:00,99,204,Udinese,Parma,PAR,UDI,0,2.0327,2,1.86017,1.09887,0.043500000000000094,7.217391304347826,8,3,0.7271,4,1.05537,1.05537,-0.043500000000000094,23.666666666666668,3
ITA-Serie A,1415,2014-10-04 AC Milan-Chievo,2,2014,5070,2014-10-04 19:45:00,111,109,AC Milan,Chievo,CHI,MIL,0,0.5759,0,0.552252,0.552252,-1.0486980000000001,6.928571428571429,3,3,2.1869,2,1.60095,1.60095,1.0486980000000001,4.708333333333333,6
ITA-Serie A,1415,2014-10-04 Verona-Cagliari,2,2014,5069,2014-10-04 17:00:00,94,116,Verona,Cagliari,CAG,VER,0,2.1609000000000003,0,2.01475,2.01475,1.0517819999999998,7.741935483870968,8,3,0.6252,1,0.962968,0.962968,-1.0517819999999998,7.125,3
